the,der/die/das
food,Essen/Nahrung
every,jede
during,während
book,Buch
keep,behalten
eye,Auge
show,zeigen/Show
let,lassen
family,Familie
student,Student/Schüler
company,Firma/Unternehmen
country,Land
turn,drehen/wenden
real,echt/wirklich
open,öffnen/offen
child,Kind
must,muss
change,ändern/Änderung
hold,halten
government,Regierung
program,Programm
begin,beginnen
play,spielen/Spiel
until,bis
mean,bedeuten
home,Zuhause/Heim
happen,geschehen/passieren
five,fünf
point,Punkt
bring,bringen
believe,glauben
side,Seite
live,leben/wohnen
room,Raum/Zimmer
job,Job/Arbeit
read,lesen
question,Frage
car,Auto
become,werden
learn,lernen
understand,verstehen
phone,Telefon
half,Hälfte/halb
far,weit
name,Name
face,Gesicht
woman,Frau
young,jung
money,Geld
pay,bezahlen
city,Stadt
night,Nacht
write,schreiben
water,Wasser
way,Weg/Art
person,Person
meet,treffen
line,Linie/Zeile
business,Geschäft/Business
ever,jemals
hear,hören
level,Ebene/Niveau
once,einmal
already,bereits/schon
reason,Grund
body,Körper
hour,Stunde
stop,stoppen/anhalten
within,innerhalb
hope,Hoffnung/hoffen
case,Fall/Koffer
market,Markt
black,schwarz
father,Vater
kid,Kind
white,weiß
since,seit/seitdem
mother,Mutter
number,Nummer/Zahl
health,Gesundheit
member,Mitglied
build,bauen
late,spät
guy,Typ/Kerl
under,unter
system,System
sure,sicher
study,studieren/Studie
maybe,vielleicht
month,Monat
service,Service/Dienst
walk,gehen/laufen
mind,Verstand/Geist
week,Woche
morning,Morgen
record,Rekord/aufzeichnen
town,Stadt
class,Klasse
game,Spiel
hard,hart/schwer
lead,führen/Führung
today,heute
sit,sitzen
offer,Angebot/anbieten
fact,Tatsache
buy,kaufen
hear,hören
bad,schlecht
office,Büro
wait,warten
love,Liebe/lieben
continue,fortsetzen
early,früh
allow,erlauben
dog,Hund
large,groß
door,Tür
able,fähig
stand,stehen
watch,Uhr/anschauen
clear,klar
send,senden/schicken
expect,erwarten
teacher,Lehrer
fall,fallen/Herbst
plan,Plan/planen
tax,Steuer
color,Farbe
act,handeln/Akt
area,Bereich/Gebiet
doctor,Arzt/Doktor
away,weg
soon,bald
deal,Deal/Geschäft
dark,dunkel
law,Gesetz
important,wichtig
table,Tisch
cut,schneiden/Schnitt
drive,fahren/treiben
wife,Ehefrau
matter,Angelegenheit/Materie
wall,Wand/Mauer
consider,betrachten/erwägen
less,weniger
possible,möglich
century,Jahrhundert
close,schließen/nah
light,Licht/leicht
ready,bereit
set,setzen/stellen
process,Prozess
free,frei/kostenlos
strong,stark
social,sozial
follow,folgen
sound,Klang/Ton
paper,Papier
against,gegen
add,hinzufügen
ground,Boden/Grund
research,Forschung/forschen
ago,vor
interest,Interesse
girl,Mädchen
low,niedrig
second,zweite/Sekunde
rather,eher/lieber
moment,Moment
party,Party/Partei
music,Musik
group,Gruppe
daughter,Tochter
control,Kontrolle/kontrollieren
speak,sprechen
sense,Sinn
team,Team
minute,Minute
better,besser
remember,erinnern
voice,Stimme
six,sechs
police,Polizei
bed,Bett
practice,Praxis/üben
front,vorne/Front
among,unter
form,Form/bilden
often,oft
return,zurückkehren/Rückkehr
available,verfügbar
support,Unterstützung/unterstützen
lay,legen
however,jedoch
few,wenige
full,voll
lose,verlieren
position,Position
boy,Junge
price,Preis
art,Kunst
later,später
report,Bericht/berichten
increase,erhöhen/Zunahme
chance,Chance
power,Macht/Kraft
without,ohne
foot,Fuß
care,Pflege/sorgen
anything,irgendetwas
least,wenigste
perhaps,vielleicht
top,oben/Spitze
across,über/quer
everything,alles
present,Gegenwart/präsentieren
husband,Ehemann
death,Tod
past,Vergangenheit/vorbei
whole,ganz
involve,beinhalten/beteiligen
stay,bleiben/Aufenthalt
red,rot
rest,Rest/ruhen
true,wahr
join,beitreten/verbinden
hour,Stunde
cause,Ursache/verursachen
yet,noch/dennoch
situation,Situation
teacher,Lehrer
value,Wert/schätzen
community,Gemeinschaft
production,Produktion
land,Land
information,Information
image,Bild/Image
player,Spieler
result,Ergebnis
parent,Elternteil
else,sonst/anders
kind,Art/freundlich
certain,gewiss/bestimmt
blue,blau
human,Mensch/menschlich
hot,heiß
public,öffentlich
war,Krieg
enough,genug
project,Projekt
although,obwohl
actually,tatsächlich
grow,wachsen
term,Begriff/Amtszeit
sometimes,manchmal
beautiful,schön
decision,Entscheidung
window,Fenster
develop,entwickeln
happy,glücklich
visit,besuchen/Besuch
pass,bestehen/weitergeben
education,Bildung
event,Ereignis/Veranstaltung
base,Basis/basieren
hair,Haar
language,Sprache
agree,zustimmen
air,Luft
size,Größe
experience,Erfahrung
else,sonst/anders
major,Hauptfach/bedeutend
history,Geschichte
draw,zeichnen/ziehen
president,Präsident
field,Feld
special,besonders/speziell
computer,Computer
difficult,schwierig
condition,Zustand/Bedingung
outside,draußen/außen
win,gewinnen
step,Schritt
relationship,Beziehung
worry,Sorge/sorgen
along,entlang
nearly,fast/nahezu
heart,Herz
simple,einfach
together,zusammen
create,erschaffen/kreieren
seem,scheinen
cost,Kosten/kosten
produce,produzieren/erzeugen
song,Lied
American,amerikanisch
serve,dienen/servieren
piece,Stück
box,Kiste/Box
fish,Fisch
drop,fallen lassen/Tropfen
final,endgültig/letzte
view,Ansicht/betrachten
thought,Gedanke
movie,Film
poor,arm
wear,tragen/Verschleiß
street,Straße
national,national
themselves,sich selbst
short,kurz
fight,kämpfen/Kampf
green,grün
seven,sieben
stage,Bühne/Stadium
baby,Baby
race,Rennen/Rasse
force,Kraft/zwingen
arrive,ankommen
data,Daten
order,Bestellung/Ordnung
sea,Meer
rule,Regel/herrschen
four,vier
travel,reisen/Reise
purpose,Zweck
sign,Zeichen/unterschreiben
arm,Arm
check,prüfen/Scheck
space,Raum/Weltraum
cover,abdecken/Deckel
test,Test/testen
nature,Natur
store,Geschäft/speichern
wish,Wunsch/wünschen
plant,Pflanze/Werk
picture,Bild
risk,Risiko
pull,ziehen
personal,persönlich
choice,Wahl/Auswahl
explain,erklären
sell,verkaufen
accept,akzeptieren
policy,Politik/Richtlinie
detail,Detail
election,Wahl
recognize,erkennen
enjoy,genießen
model,Modell
trade,Handel/handeln
born,geboren
raise,erhöhen/aufziehen
central,zentral
seat,Sitz
building,Gebäude
court,Gericht/Hof
chance,Chance
fine,fein/Strafe
blood,Blut
receive,erhalten/empfangen
economic,wirtschaftlich
activity,Aktivität
enter,eintreten/eingeben
decide,entscheiden
bill,Rechnung
truth,Wahrheit
summer,Sommer
almost,fast
action,Aktion/Handlung
food,Nahrung/Essen
age,Alter
bank,Bank
population,Bevölkerung
scene,Szene
local,lokal/örtlich
type,Typ/Art
oil,Öl
claim,behaupten/Anspruch
fill,füllen
statement,Aussage/Erklärung
glass,Glas
letter,Brief/Buchstabe
reach,erreichen/Reichweite
culture,Kultur
lie,lügen/liegen
analysis,Analyse
garden,Garten
military,Militär
eight,acht
floor,Boden/Etage
fire,Feuer
brother,Bruder
skin,Haut
cold,kalt/Erkältung
tree,Baum
capital,Kapital/Hauptstadt
director,Direktor
charge,Gebühr/laden
apply,anwenden/bewerben
goal,Ziel
fast,schnell
rate,Rate/bewerten
fear,Angst/fürchten
hit,treffen/Treffer
easy,einfach/leicht
mile,Meile
deep,tief
attack,Angriff/angreifen
determine,bestimmen
design,Design/entwerfen
figure,Figur/herausfinden
material,Material
pattern,Muster
benefit,Nutzen/Vorteil
ten,zehn
various,verschiedene
notice,bemerken/Mitteilung
basis,Basis/Grundlage
list,Liste
method,Methode
quality,Qualität
treatment,Behandlung
task,Aufgabe
character,Charakter/Figur
themselves,sich selbst
consumer,Verbraucher
strategy,Strategie
development,Entwicklung
approach,Ansatz/annähern
source,Quelle
environment,Umwelt/Umgebung
popular,beliebt/populär
fund,Fonds/finanzieren
organization,Organisation
bed,Bett
maintain,aufrechterhalten
shoot,schießen
science,Wissenschaft
behind,hinter
safe,sicher/Safe
similar,ähnlich
standard,Standard
performance,Leistung/Aufführung
collection,Sammlung
civil,zivil/bürgerlich
church,Kirche
behavior,Verhalten
discussion,Diskussion
establish,etablieren/einrichten
south,Süden
seek,suchen
private,privat
sport,Sport
wrong,falsch
especially,besonders
specific,spezifisch
response,Antwort/Reaktion
wonder,wundern/Wunder
identify,identifizieren
road,Straße
quickly,schnell
rock,Felsen/Rock
clearly,deutlich
security,Sicherheit
peace,Frieden
west,West/Westen
likely,wahrscheinlich
focus,Fokus/fokussieren
series,Serie/Reihe
indicate,anzeigen
carry,tragen
daughter,Tochter
dead,tot
attention,Aufmerksamkeit
forget,vergessen
individual,Individuum/individuell
property,Eigentum
manager,Manager
occur,auftreten/vorkommen
challenge,Herausforderung
technology,Technologie
energy,Energie
sister,Schwester
star,Stern/Star
paper,Papier
future,Zukunft
opportunity,Gelegenheit
animal,Tier
chance,Chance
mention,erwähnen
network,Netzwerk
discover,entdecken
option,Option
station,Station
heavy,schwer
difference,Unterschied
attempt,Versuch/versuchen
role,Rolle
defense,Verteidigung
spring,Frühling/Feder
marriage,Ehe
floor,Boden/Etage
weight,Gewicht
prevent,verhindern/vorbeugen
measure,Maß/messen
wide,breit/weit
argue,argumentieren/streiten
medical,medizinisch
north,Norden
straight,gerade
finger,Finger
success,Erfolg
choice,Wahl/Auswahl
train,Zug/trainieren
kitchen,Küche
citizen,Bürger
cultural,kulturell
round,rund/Runde
evening,Abend
store,Geschäft/speichern
democratic,demokratisch
million,Million
center,Zentrum/Mitte
note,Notiz/bemerken
film,Film
movement,Bewegung
debate,Debatte/debattieren
yellow,gelb
campaign,Kampagne
hotel,Hotel
cat,Katze
television,Fernsehen
reform,Reform/reformieren
nine,neun
drug,Droge/Medikament
radio,Radio
ability,Fähigkeit
knowledge,Wissen/Kenntnis
institution,Institution
foreign,ausländisch/fremd
island,Insel
share,teilen/Anteil
current,aktuell/Strömung
guess,raten/Vermutung
board,Brett/Vorstand
author,Autor
responsibility,Verantwortung
brown,braun
victim,Opfer
natural,natürlich
faith,Glaube/Vertrauen
positive,positiv
administration,Verwaltung
meeting,Treffen/Besprechung
participant,Teilnehmer
contact,Kontakt/kontaktieren
degree,Grad/Abschluss
demand,Nachfrage/fordern
operation,Operation/Betrieb
budget,Budget
active,aktiv
worker,Arbeiter
exist,existieren
break,Pause/brechen
rich,reich
international,international
throw,werfen
ride,fahren/reiten
article,Artikel
shape,Form/gestalten
mark,Zeichen/markieren
entire,gesamt/ganz
smile,Lächeln/lächeln
river,Fluss
push,drücken/schieben
normal,normal
hang,hängen
respect,Respekt/respektieren
tradition,Tradition
theme,Thema
travel,reisen/Reise
factor,Faktor
weather,Wetter
impact,Einfluss/Auswirkung
ahead,voraus
analysis,Analyse
patient,Patient/geduldig
pain,Schmerz
mouth,Mund
hall,Halle/Saal
employee,Angestellter
direction,Richtung
influence,Einfluss/beeinflussen
agreement,Vereinbarung
serious,ernst/seriös
propose,vorschlagen
conflict,Konflikt
opinion,Meinung
effective,effektiv/wirksam
powerful,mächtig/kraftvoll
avoid,vermeiden
decade,Jahrzehnt
key,Schlüssel/wichtig
essential,wesentlich/essentiell
dream,Traum/träumen
unique,einzigartig
firm,Firma/fest
speech,Rede/Sprache
pressure,Druck
purpose,Zweck
leader,Führer/Anführer
huge,riesig
contract,Vertrag/zusammenziehen
path,Pfad/Weg
struggle,Kampf/kämpfen
nuclear,nuklear
page,Seite
concern,Sorge/betreffen
violence,Gewalt
destroy,zerstören
zone,Zone
doubt,Zweifel/zweifeln
chairman,Vorsitzender
failure,Versagen/Misserfolg
legal,legal/rechtlich
justice,Gerechtigkeit
cancer,Krebs
release,freigeben/Freigabe
complete,komplett/vollständig
interview,Interview/interviewen
unique,einzigartig
reality,Realität/Wirklichkeit
critic,Kritiker
damage,Schaden/beschädigen
generation,Generation
sexual,sexuell
address,Adresse/ansprechen
scientist,Wissenschaftler
weapon,Waffe
audience,Publikum/Zuschauer
threaten,bedrohen
interview,Interview/interviewen
hate,Hass/hassen
representative,Vertreter/repräsentativ
earth,Erde
desire,Verlangen/wünschen
feature,Merkmal/Funktion
component,Komponente
gain,Gewinn/gewinnen
relatively,relativ
associate,Mitarbeiter/verbinden
text,Text
bear,Bär/tragen
context,Kontext
teach,lehren/unterrichten
technique,Technik
framework,Rahmen/Gerüst
emphasis,Betonung/Nachdruck
sentence,Satz
strike,Streik/schlagen
trial,Versuch/Prozess
touch,berühren/Berührung
crisis,Krise
farm,Bauernhof/Farm
sun,Sonne
cool,kühl/cool
husband,Ehemann
wine,Wein
soldier,Soldat
primary,primär/Hauptsächlich
status,Status
guess,raten/Vermutung
expression,Ausdruck
resident,Bewohner/Einwohner
mix,mischen/Mischung
obligation,Verpflichtung
empty,leer
vision,Vision/Sicht
emotional,emotional
clean,sauber/reinigen
interesting,interessant
warm,warm
difficulty,Schwierigkeit
corner,Ecke
definition,Definition
fundamental,grundlegend/fundamental
complex,komplex
relative,Verwandter/relativ
message,Nachricht/Botschaft
gift,Geschenk
connection,Verbindung
colleague,Kollege
active,aktiv
recommend,empfehlen
chip,Chip
dinner,Abendessen
commitment,Verpflichtung/Engagement
advantage,Vorteil
mistake,Fehler
county,Landkreis/Bezirk
forest,Wald
initial,anfänglich/initial
mountain,Berg
tiny,winzig
practical,praktisch
bridge,Brücke
consequence,Konsequenz/Folge
expand,erweitern/ausbauen
knee,Knie
category,Kategorie
transfer,übertragen/Transfer
smell,Geruch/riechen
train,Zug/trainieren
secret,Geheimnis/geheim
professional,professionell/Fachmann
block,Block/blockieren
plane,Flugzeug/Ebene
shoe,Schuh
observe,beobachten
drink,trinken/Getränk
funny,lustig
gold,Gold
grass,Gras
captain,Kapitän
ride,fahren/reiten
urban,städtisch/urban
taste,Geschmack/schmecken
visitor,Besucher
silence,Stille/zum Schweigen bringen
yard,Hof/Yard
trust,Vertrauen/vertrauen
mine,mein/Mine
winter,Winter
committee,Komitee/Ausschuss
muscle,Muskel
favorite,Favorit/Lieblings-
breakfast,Frühstück
progress,Fortschritt
master,Meister/beherrschen
egg,Ei
shirt,Hemd
breath,Atem
winner,Gewinner
wave,Welle/winken
beach,Strand
surprise,Überraschung/überraschen
soft,weich/sanft
possibility,Möglichkeit
wild,wild
thin,dünn
uncle,Onkel
manner,Art und Weise/Manier
possession,Besitz
dangerous,gefährlich
pilot,Pilot
adult,Erwachsener/erwachsen
independent,unabhängig
spirit,Geist
sweet,süß
rain,Regen
lunch,Mittagessen
instrument,Instrument
climate,Klima
dance,tanzen/Tanz
examine,untersuchen
empty,leer
metal,Metall
hat,Hut
silent,still/leise
northern,nördlich
passenger,Passagier
sleep,schlafen/Schlaf
engineer,Ingenieur
baseball,Baseball
angry,wütend
eastern,östlich
tear,Träne/reißen
root,Wurzel
tension,Spannung
apartment,Wohnung/Apartment
dress,Kleid/anziehen
bird,Vogel
plastic,Plastik/Kunststoff
speaker,Sprecher/Lautsprecher
nurse,Krankenschwester/Pfleger
comfortable,bequem/komfortabel
boat,Boot
photograph,Foto/fotografieren
chicken,Huhn/Hühnchen
priest,Priester
calm,ruhig/beruhigen
pack,packen/Packung
pleasure,Vergnügen
southern,südlich
survive,überleben
busy,beschäftigt
cook,kochen/Koch
poem,Gedicht
spiritual,spirituell/geistig
relative,Verwandter/relativ
breakfast,Frühstück
wonderful,wunderbar
instrument,Instrument
shower,Dusche/duschen
branch,Zweig/Filiale
coast,Küste
concert,Konzert
driver,Fahrer
friendly,freundlich
pool,Pool/Becken
confidence,Vertrauen/Zuversicht
cloud,Wolke
mood,Stimmung
fruit,Frucht/Obst
luck,Glück
sugar,Zucker
village,Dorf
youth,Jugend
volume,Volumen/Lautstärke
nose,Nase
shoe,Schuh
stream,Strom/Bach
poet,Dichter/Poet
intelligent,intelligent
shirt,Hemd
champion,Meister/Champion
lovely,reizend/schön
honey,Honig
potato,Kartoffel
exercise,Übung/trainieren
plate,Teller/Platte
neck,Hals/Nacken
purple,lila/purpur
tired,müde
salary,Gehalt
lucky,glücklich
farmer,Bauer/Landwirt
gray,grau
taste,Geschmack/schmecken
bread,Brot
jacket,Jacke
chocolate,Schokolade
bathroom,Badezimmer
bedroom,Schlafzimmer
cheese,Käse
tongue,Zunge
cream,Sahne/Creme
cotton,Baumwolle
bell,Glocke
are, Sind
hello, Hallo
